Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
KLF16,Kruppel-like factor 16,83855,19,0.1045,0.4446,0.07778,0.2105,,,,,,,,,,,
BOC,"BOC cell adhesion associated, oncogene regulated",91653,3,0.3027,3.592,0.07785,0.2107,,,,,,,,,,,
NT5E,5'-nucleotidase ecto,4907,6,0.2753,5.148,0.07789,0.2107,,,,,,,,,,,
DRC7,dynein regulatory complex subunit 7,84229,16,0.3407,-3.291,0.07803,0.211,,,,,,,,,,,
HBBP1,hemoglobin subunit beta pseudogene 1,3044,11,0.1564,-6.095,0.07803,0.211,,,,,,,,,,,
SENP5,SUMO1/sentrin specific peptidase 5,205564,3,0.07582,5.938,0.07804,0.211,,,,,,,,,,,
CCT6A,chaperonin containing TCP1 subunit 6A,908,7,0.09523,7.139,0.07809,0.2111,,,,,,,,,,,
STAB2,stabilin 2,55576,12,0.5804,-0.2668,0.07812,0.2111,,,,,,,,,,,
LATS2,large tumor suppressor kinase 2,26524,13,0.14,4.324,0.07813,0.2111,,,,,,,,,,,
PRKD3,protein kinase D3,23683,2,0.1136,6.165,0.07813,0.2111,,,,,,,,,,,
CLEC4M,C-type lectin domain family 4 member M,10332,19,0.5035,-3.301,0.07815,0.2112,,,,,,,,,,,
NA,NA,NA,NA,0.329,-5.04,0.07822,0.2113,,,,,,,,,,,
SNRPF,small nuclear ribonucleoprotein polypeptide F,6636,12,0.1335,5.529,0.07828,0.2114,,,,,,,,,,,
NA,NA,NA,NA,0.1795,-5.69,0.07838,0.2117,,,,,,,,,,,
CYP27B1,cytochrome P450 family 27 subfamily B member 1,1594,12,0.1836,1.61,0.07846,0.2118,,,,,,,,,,,
APOBEC3B-AS1,APOBEC3B antisense RNA 1,100874530,22,0.1952,-5.791,0.0786,0.2121,,,,,,,,,,,
ARSF,arylsulfatase F,416,X,0.358,-4.337,0.07865,0.2122,,,,,,,,,,,
LY75,lymphocyte antigen 75,4065,2,0.2261,1.182,0.0787,0.2123,,,,,,,,,,,
TAB3,TGF-beta activated kinase 1/MAP3K7 binding protein 3,257397,X,0.09581,5.63,0.0788,0.2125,,,,,,,,,,,
SNX29P2,sorting nexin 29 pseudogene 2,440352,16,0.2442,0.5079,0.0789,0.2127,,,,,,,,,,,
SDR9C7,"short chain dehydrogenase/reductase family 9C, member 7",121214,12,0.3949,-3.812,0.07901,0.213,,,,,,,,,,,
CEP57,centrosomal protein 57kDa,9702,11,0.08,6.213,0.07903,0.213,,,,,,,,,,,
KCNA10,potassium voltage-gated channel subfamily A member 10,3744,1,0.2,-5.887,0.07908,0.2131,,,,,,,,,,,
RHOT1,ras homolog family member T1,55288,17,0.07514,6.071,0.07913,0.2132,,,,,,,,,,,
MKNK1,MAP kinase interacting serine/threonine kinase 1,8569,1,0.06862,4.804,0.07917,0.2132,,,,,,,,,,,
NUP214,nucleoporin 214kDa,8021,9,0.06899,7.588,0.07921,0.2133,,,,,,,,,,,
SYNC,"syncoilin, intermediate filament protein",81493,1,0.2608,1.916,0.07928,0.2135,,,,,,,,,,,
MSRB2,methionine sulfoxide reductase B2,22921,10,0.1105,2.584,0.07932,0.2135,,,,,,,,,,,
NFE2,"nuclear factor, erythroid 2",4778,12,0.3202,-2.252,0.07932,0.2135,,,,,,,,,,,
RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1,83695,12,0.09558,3.1,0.07933,0.2135,,,,,,,,,,,
FAM133B,family with sequence similarity 133 member B,257415,7,0.09695,0.8124,0.0794,0.2136,,,,,,,,,,,
CD99L2,CD99 molecule like 2,83692,X,0.1281,3.83,0.07947,0.2138,,,,,,,,,,,
ENO1,"enolase 1, (alpha)",2023,1,0.1441,9.782,0.07961,0.2141,,,,,,,,,,,
MEIG1,meiosis/spermiogenesis associated 1,644890,10,0.2754,-4.415,0.07968,0.2142,,,,,,,,,,,
HIST1H2AI,"histone cluster 1, H2ai",8329,6,0.2627,4.824,0.07968,0.2142,,,,,,,,,,,
MYLK-AS1,MYLK antisense RNA 1,100506826,3,0.2474,-3.339,0.07976,0.2144,,,,,,,,,,,
POLR2I,polymerase (RNA) II subunit I,5438,19,0.1045,3.581,0.07992,0.2147,,,,,,,,,,,
NA,NA,NA,NA,0.2125,-5.491,0.07999,0.2149,,,,,,,,,,,
TACR1,tachykinin receptor 1,6869,2,0.3489,-1.255,0.08009,0.215,,,,,,,,,,,
SIAH3,siah E3 ubiquitin protein ligase family member 3,283514,13,0.3438,-4.46,0.0801,0.215,,,,,,,,,,,
PDIA3,protein disulfide isomerase family A member 3,2923,15,0.1068,9.131,0.08011,0.215,,,,,,,,,,,
LOC439933,uncharacterized LOC439933,439933,4,0.2068,-5.747,0.0803,0.2154,,,,,,,,,,,
BHLHE40,basic helix-loop-helix family member e40,8553,3,0.1869,7.258,0.08071,0.2163,,,,,,,,,,,
HIST1H2BE,"histone cluster 1, H2be",8344,6,0.2519,4.899,0.08075,0.2164,,,,,,,,,,,
L3HYPDH,L-3-hydroxyproline dehydratase (trans-),112849,14,0.1102,1.865,0.08108,0.2172,,,,,,,,,,,
CCDC67,coiled-coil domain containing 67,159989,11,0.4041,-3.443,0.08115,0.2173,,,,,,,,,,,
RGS7,regulator of G-protein signaling 7,6000,1,0.4521,-2.574,0.08117,0.2173,,,,,,,,,,,
PRNP,prion protein,5621,20,0.1954,7.616,0.08119,0.2173,,,,,,,,,,,
CTDP1,CTD phosphatase subunit 1,9150,18,0.07509,5.845,0.08136,0.2177,,,,,,,,,,,
NUDT15,nudix hydrolase 15,55270,13,0.1196,2.89,0.08141,0.2178,,,,,,,,,,,
TPSB2,tryptase beta 2 (gene/pseudogene),64499,16,0.3513,-1.43,0.08142,0.2178,,,,,,,,,,,
NFIX,nuclear factor I/X (CCAAT-binding transcription factor),4784,19,0.202,5.326,0.08143,0.2179,,,,,,,,,,,
GTPBP1,GTP binding protein 1,9567,22,0.0755,5.192,0.0815,0.218,,,,,,,,,,,
KPNA7,karyopherin subunit alpha 7,402569,7,0.3671,-1.282,0.08155,0.2181,,,,,,,,,,,
OR2M1P,olfactory receptor family 2 subfamily M member 1 pseudogene,388762,1,0.2241,-5.781,0.08158,0.2182,,,,,,,,,,,
WDR7,WD repeat domain 7,23335,18,0.07507,6.114,0.0817,0.2184,,,,,,,,,,,
NRTN,neurturin,4902,19,0.2895,-4.174,0.08173,0.2184,,,,,,,,,,,
HIST2H2AA3,"histone cluster 2, H2aa3",8337,1,0.2381,-3.467,0.08176,0.2185,,,,,,,,,,,
ASB5,ankyrin repeat and SOCS box containing 5,140458,4,0.5013,-4.068,0.08184,0.2186,,,,,,,,,,,
CPEB2,cytoplasmic polyadenylation element binding protein 2,132864,4,0.1278,3.589,0.08194,0.2188,,,,,,,,,,,
GSDMA,gasdermin A,284110,17,0.3244,-0.7754,0.08196,0.2188,,,,,,,,,,,
DPYSL5,dihydropyrimidinase like 5,56896,2,0.457,-4.624,0.08196,0.2188,,,,,,,,,,,
SENP3,SUMO1/sentrin/SMT3 specific peptidase 3,26168,17,0.1071,1.829,0.08199,0.2189,,,,,,,,,,,
LOC643770,uncharacterized LOC643770,643770,12,0.2326,-4.264,0.08213,0.2191,,,,,,,,,,,
STARD4-AS1,STARD4 antisense RNA 1,100505678,5,0.2083,-5.612,0.08229,0.2195,,,,,,,,,,,
FAAP24,Fanconi anemia core complex associated protein 24,91442,19,0.1307,0.6168,0.08238,0.2197,,,,,,,,,,,
LOC389247,uncharacterized LOC389247,389247,4,0.1377,-6.071,0.08248,0.22,,,,,,,,,,,
CDH17,cadherin 17,1015,8,0.4299,-1.323,0.08263,0.2202,,,,,,,,,,,
PPAT,phosphoribosyl pyrophosphate amidotransferase,5471,4,0.1156,3.814,0.08264,0.2202,,,,,,,,,,,
1-Dec,deleted in esophageal cancer 1,50514,9,0.1349,-6.177,0.08273,0.2204,,,,,,,,,,,
PUS7,pseudouridylate synthase 7 (putative),54517,7,0.1147,5.122,0.08293,0.2209,,,,,,,,,,,
NA,NA,NA,NA,0.2313,-3.846,0.08294,0.2209,,,,,,,,,,,
MGC12916,uncharacterized protein MGC12916,84815,17,0.1666,-5.863,0.08295,0.2209,,,,,,,,,,,
RC3H2,ring finger and CCCH-type domains 2,54542,9,0.07553,7.125,0.08308,0.2212,,,,,,,,,,,
SP3,Sp3 transcription factor,6670,2,0.07125,7.095,0.08311,0.2212,,,,,,,,,,,
MPHOSPH6,M-phase phosphoprotein 6,10200,16,0.1208,4.981,0.08312,0.2212,,,,,,,,,,,
ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",85365,9,0.1074,6.503,0.08315,0.2213,,,,,,,,,,,
NEURL3,neuralized E3 ubiquitin protein ligase 3,93082,2,0.3308,-4.233,0.08316,0.2213,,,,,,,,,,,
COL15A1,collagen type XV alpha 1,1306,9,0.2299,6.542,0.08331,0.2215,,,,,,,,,,,
UBE2S,ubiquitin conjugating enzyme E2S,27338,19,0.1714,1.417,0.08332,0.2215,,,,,,,,,,,
GBP3,guanylate binding protein 3,2635,1,0.2095,6.999,0.08346,0.2219,,,,,,,,,,,
OR2S2,olfactory receptor family 2 subfamily S member 2 (gene/pseudogene),56656,9,0.1409,-6.105,0.08352,0.222,,,,,,,,,,,
FAM43A,family with sequence similarity 43 member A,131583,3,0.2014,-0.8188,0.08366,0.2223,,,,,,,,,,,
BBOX1,gamma-butyrobetaine hydroxylase 1,8424,11,0.5078,-2.042,0.0838,0.2225,,,,,,,,,,,
LOC101926941,uncharacterized LOC101926941,101926941,5,0.1258,-6.13,0.08388,0.2227,,,,,,,,,,,
PSMC1,"proteasome 26S subunit, ATPase 1",5700,14,0.1115,2.122,0.08395,0.2228,,,,,,,,,,,
WDYHV1,WDYHV motif containing 1,55093,8,0.09572,3.618,0.084,0.2229,,,,,,,,,,,
ARHGEF39,Rho guanine nucleotide exchange factor 39,84904,9,0.1931,0.5002,0.08416,0.2232,,,,,,,,,,,
ERVMER34-1,endogenous retrovirus group MER34 member 1,100288413,4,0.2827,2.027,0.08419,0.2233,,,,,,,,,,,
NA,NA,NA,NA,0.2257,-4.493,0.08424,0.2234,,,,,,,,,,,
MORC1,MORC family CW-type zinc finger 1,27136,3,0.3505,-4.815,0.08434,0.2236,,,,,,,,,,,
PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2,51422,7,0.1232,4.929,0.08435,0.2236,,,,,,,,,,,
TRIM56,tripartite motif containing 56,81844,7,0.09168,3.808,0.08435,0.2236,,,,,,,,,,,
OAT,ornithine aminotransferase,4942,10,0.2007,6.054,0.08473,0.2244,,,,,,,,,,,
PNLIPRP3,pancreatic lipase related protein 3,119548,10,0.51,-4.289,0.08476,0.2245,,,,,,,,,,,
NA,NA,NA,NA,0.165,-6.033,0.08486,0.2246,,,,,,,,,,,
DFNB31,"deafness, autosomal recessive 31",25861,9,0.1699,3.093,0.08488,0.2246,,,,,,,,,,,
NA,NA,NA,NA,0.1467,-6.052,0.08492,0.2246,,,,,,,,,,,
NUTM2A-AS1,NUTM2A antisense RNA 1,728190,10,0.1674,-5.709,0.08492,0.2246,,,,,,,,,,,
NUDT8,nudix hydrolase 8,254552,11,0.2011,-0.3572,0.08496,0.2247,,,,,,,,,,,
LOC101928075,uncharacterized LOC101928075,101928075,14,0.122,-6.176,0.08498,0.2247,,,,,,,,,,,
TAAR9,trace amine associated receptor 9 (gene/pseudogene),134860,6,0.1517,-6.094,0.085,0.2248,,,,,,,,,,,
RPH3A,rabphilin 3A,22895,12,0.3253,-4.625,0.08504,0.2248,,,,,,,,,,,
AVEN,apoptosis and caspase activation inhibitor,57099,15,0.09727,3.093,0.08509,0.2249,,,,,,,,,,,
ATR,ATR serine/threonine kinase,545,3,0.06156,7.178,0.08515,0.225,,,,,,,,,,,
HIST1H2AD,"histone cluster 1, H2ad",3013,6,0.1919,3.55,0.08516,0.225,,,,,,,,,,,
PNMA2,paraneoplastic Ma antigen 2,10687,8,0.3377,-1.118,0.08523,0.2251,,,,,,,,,,,
C7orf34,chromosome 7 open reading frame 34,135927,7,0.1787,-5.889,0.08528,0.2253,,,,,,,,,,,
C14orf169,chromosome 14 open reading frame 169,79697,14,0.115,3.525,0.08544,0.2256,,,,,,,,,,,
CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7,59284,19,0.1847,-5.993,0.08553,0.2258,,,,,,,,,,,
NAA30,"N(alpha)-acetyltransferase 30, NatC catalytic subunit",122830,14,0.06996,4.347,0.08568,0.2261,,,,,,,,,,,
ABCF2,ATP binding cassette subfamily F member 2,10061,7,0.08436,5.693,0.0857,0.2261,,,,,,,,,,,
PALD1,"phosphatase domain containing, paladin 1",27143,10,0.1678,2.452,0.08574,0.2262,,,,,,,,,,,
NA,NA,NA,NA,0.2273,-5.555,0.08601,0.2268,,,,,,,,,,,
C22orf24,chromosome 22 open reading frame 24,25775,22,0.2504,-4.313,0.08609,0.2269,,,,,,,,,,,
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",116986,12,0.1953,2.653,0.08609,0.2269,,,,,,,,,,,
NPIPB3,nuclear pore complex interacting protein family member B3,23117,16,0.1453,5.055,0.08613,0.227,,,,,,,,,,,
ZNF114,zinc finger protein 114,163071,19,0.419,0.2627,0.08616,0.227,,,,,,,,,,,
CCDC15,coiled-coil domain containing 15,80071,11,0.1444,4.357,0.08621,0.2271,,,,,,,,,,,
DNMT3L,DNA (cytosine-5-)-methyltransferase 3-like,29947,21,0.2024,-6.067,0.08631,0.2273,,,,,,,,,,,
NA,NA,NA,NA,0.2179,-0.473,0.08634,0.2273,,,,,,,,,,,
AP3B2,adaptor related protein complex 3 beta 2 subunit,8120,15,0.3441,0.6379,0.08643,0.2276,,,,,,,,,,,
CGREF1,cell growth regulator with EF-hand domain 1,10669,2,0.3614,0.3795,0.08649,0.2277,,,,,,,,,,,
ZIC2,Zic family member 2,7546,13,0.5058,0.3061,0.08655,0.2278,,,,,,,,,,,
PROSER2,proline and serine rich 2,254427,10,0.2166,1.232,0.08659,0.2279,,,,,,,,,,,
CCDC163P,"coiled-coil domain containing 163, pseudogene",126661,1,0.1918,0.6666,0.08664,0.2279,,,,,,,,,,,
PSKH2,protein serine kinase H2,85481,8,0.1457,-6.079,0.08667,0.2279,,,,,,,,,,,
ARHGAP28,Rho GTPase activating protein 28,79822,18,0.2688,3.579,0.08667,0.2279,,,,,,,,,,,
HHIPL1,HHIP like 1,84439,14,0.2103,0.139,0.087,0.2287,,,,,,,,,,,
DLGAP1-AS1,DLGAP1 antisense RNA 1,649446,18,0.1384,2.283,0.08712,0.229,,,,,,,,,,,
RSPH10B,radial spoke head 10 homolog B (Chlamydomonas),222967,7,0.2074,-5.56,0.08727,0.2293,,,,,,,,,,,
GTF2A2,general transcription factor IIA 2,2958,15,0.0833,4.105,0.08745,0.2297,,,,,,,,,,,
TMOD3,tropomodulin 3,29766,15,0.08172,6.199,0.08748,0.2297,,,,,,,,,,,
NA,NA,NA,NA,0.1312,-6.075,0.08761,0.23,,,,,,,,,,,
MEF2C,myocyte enhancer factor 2C,4208,5,0.1765,4.684,0.08763,0.23,,,,,,,,,,,
NCAM1,neural cell adhesion molecule 1,4684,11,0.3776,1.79,0.08767,0.23,,,,,,,,,,,
LOC100131047,uncharacterized LOC100131047,100131047,6,0.1796,-5.953,0.08774,0.2301,,,,,,,,,,,
RBBP5,retinoblastoma binding protein 5,5929,1,0.06047,4.797,0.08778,0.2302,,,,,,,,,,,
C16orf71,chromosome 16 open reading frame 71,146562,16,0.2244,-3.629,0.08782,0.2303,,,,,,,,,,,
ADAM29,ADAM metallopeptidase domain 29,11086,4,0.2801,-5,0.08809,0.2307,,,,,,,,,,,
UTAT33,uncharacterized LOC101927492,101927492,2,0.1249,-6.136,0.08817,0.2308,,,,,,,,,,,
CREBRF,CREB3 regulatory factor,153222,5,0.0968,5.386,0.08817,0.2308,,,,,,,,,,,
ELAVL2,ELAV like neuron-specific RNA binding protein 2,1993,9,0.493,-1.194,0.08823,0.2309,,,,,,,,,,,
DBR1,debranching RNA lariats 1,51163,3,0.06871,4.76,0.08846,0.2314,,,,,,,,,,,
CASC10,cancer susceptibility candidate 10,399726,10,0.2956,-0.934,0.08858,0.2317,,,,,,,,,,,
RAB32,"RAB32, member RAS oncogene family",10981,6,0.1382,2.634,0.0886,0.2317,,,,,,,,,,,
CLDND2,claudin domain containing 2,125875,19,0.2406,-2.785,0.0886,0.2317,,,,,,,,,,,
LCE3A,late cornified envelope 3A,353142,1,0.1787,-6.094,0.08871,0.232,,,,,,,,,,,
NA,NA,NA,NA,0.1388,-5.995,0.0888,0.2321,,,,,,,,,,,
NA,NA,NA,NA,0.129,-6.078,0.08889,0.2323,,,,,,,,,,,
GNAI2,G protein subunit alpha i2,2771,3,0.07948,7.05,0.08894,0.2324,,,,,,,,,,,
CFAP126,cilia and flagella associated protein 126,257177,1,0.4278,-3.937,0.08898,0.2325,,,,,,,,,,,
RAB20,"RAB20, member RAS oncogene family",55647,13,0.1608,1.654,0.0891,0.2327,,,,,,,,,,,
RFPL4AL1,ret finger protein like 4A like 1,729974,19,0.2343,-5.702,0.08912,0.2328,,,,,,,,,,,
FAM19A1,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1",407738,3,0.2968,-4.369,0.08931,0.2331,,,,,,,,,,,
TRIM51,tripartite motif-containing 51,84767,11,0.1982,-6.022,0.08953,0.2337,,,,,,,,,,,
CIZ1,CDKN1A interacting zinc finger protein 1,25792,9,0.08133,5.817,0.08958,0.2337,,,,,,,,,,,
TNIK,TRAF2 and NCK interacting kinase,23043,3,0.2147,4.744,0.08958,0.2337,,,,,,,,,,,
CLDN19,claudin 19,149461,1,0.3762,-4.81,0.08964,0.2338,,,,,,,,,,,
PRPF19,pre-mRNA processing factor 19,27339,11,0.08289,6.157,0.08965,0.2338,,,,,,,,,,,
PAGE1,PAGE family member 1,8712,X,0.253,-5.871,0.08973,0.2339,,,,,,,,,,,
PHLDA1,pleckstrin homology like domain family A member 1,22822,12,0.2397,5.729,0.08974,0.2339,,,,,,,,,,,
PAXBP1-AS1,PAXBP1 antisense RNA 1,100506215,21,0.2339,-3.432,0.09006,0.2346,,,,,,,,,,,
WRNIP1,Werner helicase interacting protein 1,56897,6,0.0979,5.602,0.09009,0.2347,,,,,,,,,,,
GRAPL,GRB2-related adaptor protein-like,400581,17,0.2998,-4.105,0.09035,0.2353,,,,,,,,,,,
ATP2C1,ATPase secretory pathway Ca2+ transporting 1,27032,3,0.08288,8.901,0.09037,0.2353,,,,,,,,,,,
NA,NA,NA,NA,0.1283,-6.127,0.0904,0.2354,,,,,,,,,,,
SF3A2,splicing factor 3a subunit 2,8175,19,0.08125,4.645,0.09044,0.2354,,,,,,,,,,,
ZNF671,zinc finger protein 671,79891,19,0.2104,1.799,0.09052,0.2356,,,,,,,,,,,
ARSJ,arylsulfatase family member J,79642,4,0.2262,1.519,0.0906,0.2357,,,,,,,,,,,
HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,220988,2,0.0777,6.61,0.09061,0.2357,,,,,,,,,,,
C18orf54,chromosome 18 open reading frame 54,162681,18,0.1296,3.376,0.09074,0.236,,,,,,,,,,,
ACTA2-AS1,ACTA2 antisense RNA 1,100132116,10,0.2144,-0.199,0.09082,0.2362,,,,,,,,,,,
PCLO,piccolo presynaptic cytomatrix protein,27445,7,0.382,5.338,0.09095,0.2364,,,,,,,,,,,
PPEF1,protein phosphatase with EF-hand domain 1,5475,X,0.2846,-0.6029,0.09099,0.2365,,,,,,,,,,,
NA,NA,NA,NA,0.1265,-6.15,0.0911,0.2368,,,,,,,,,,,
OGFR,opioid growth factor receptor,11054,20,0.1078,5.461,0.09129,0.2371,,,,,,,,,,,
NA,NA,NA,NA,0.1558,-6.008,0.09129,0.2371,,,,,,,,,,,
PEA15,phosphoprotein enriched in astrocytes 15,8682,1,0.107,6.366,0.09138,0.2373,,,,,,,,,,,
DPEP1,dipeptidase 1 (renal),1800,16,0.447,-1.761,0.09139,0.2373,,,,,,,,,,,
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",27,1,0.09576,5.598,0.09145,0.2374,,,,,,,,,,,
DNAH10,dynein axonemal heavy chain 10,196385,12,0.2792,0.2528,0.09158,0.2377,,,,,,,,,,,
COMP,cartilage oligomeric matrix protein,1311,19,0.4904,5.278,0.09172,0.238,,,,,,,,,,,
GYG1,glycogenin 1,2992,3,0.0858,5.146,0.09176,0.2381,,,,,,,,,,,
MDH1,malate dehydrogenase 1,4190,2,0.08186,6.809,0.09178,0.2381,,,,,,,,,,,
YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,7532,7,0.09922,5.84,0.09184,0.2382,,,,,,,,,,,
IFT57,intraflagellar transport 57,55081,3,0.1155,4.799,0.09185,0.2382,,,,,,,,,,,
JOSD1,Josephin domain containing 1,9929,22,0.08687,3.755,0.09186,0.2382,,,,,,,,,,,
SUMO4,small ubiquitin-like modifier 4,387082,6,0.1017,1.046,0.09186,0.2382,,,,,,,,,,,
FRMPD1,FERM and PDZ domain containing 1,22844,9,0.387,-2.43,0.09191,0.2382,,,,,,,,,,,
KCNIP3,potassium voltage-gated channel interacting protein 3,30818,2,0.2956,-1.388,0.09191,0.2382,,,,,,,,,,,
PPP1R2P3,protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 3,153743,5,0.1263,-0.8684,0.092,0.2384,,,,,,,,,,,
AIPL1,aryl hydrocarbon receptor interacting protein-like 1,23746,17,0.1473,-6.052,0.09201,0.2384,,,,,,,,,,,
NA,NA,NA,NA,0.1538,-6.02,0.09203,0.2384,,,,,,,,,,,
NA,NA,NA,NA,0.18,-5.66,0.09215,0.2387,,,,,,,,,,,
SNORD101,"small nucleolar RNA, C/D box 101",594837,6,0.1481,-5.988,0.09225,0.2389,,,,,,,,,,,
ITGB3BP,integrin subunit beta 3 binding protein,23421,1,0.1074,2.753,0.09242,0.2393,,,,,,,,,,,
TUBA1B,tubulin alpha 1b,10376,12,0.1301,9.032,0.09254,0.2396,,,,,,,,,,,
SYVN1,synoviolin 1,84447,11,0.08469,5.643,0.09261,0.2396,,,,,,,,,,,
IL17RD,interleukin 17 receptor D,54756,3,0.207,1.666,0.09265,0.2397,,,,,,,,,,,
RTKN2,rhotekin 2,219790,10,0.2066,3.444,0.09268,0.2397,,,,,,,,,,,
EEFSEC,"eukaryotic elongation factor, selenocysteine-tRNA-specific",60678,3,0.07655,3.808,0.09269,0.2397,,,,,,,,,,,
HOXD10,homeobox D10,3236,2,0.3757,2.812,0.09275,0.2398,,,,,,,,,,,
METTL8,methyltransferase like 8,79828,2,0.0999,3.859,0.09289,0.2401,,,,,,,,,,,
NA,NA,NA,NA,0.2697,-3.063,0.09289,0.2401,,,,,,,,,,,
SPRTN,SprT-like N-terminal domain,83932,1,0.06842,3.329,0.09308,0.2405,,,,,,,,,,,
SYT5,synaptotagmin 5,6861,19,0.3639,-4.55,0.09313,0.2406,,,,,,,,,,,
PDIA5,protein disulfide isomerase family A member 5,10954,3,0.1136,5.413,0.09316,0.2406,,,,,,,,,,,
PRR34,proline rich 34,55267,22,0.1829,-5.574,0.09323,0.2408,,,,,,,,,,,
HIST1H2BH,"histone cluster 1, H2bh",8345,6,0.2461,5.632,0.09329,0.2409,,,,,,,,,,,
NBPF15,neuroblastoma breakpoint family member 15,284565,1,0.1418,6.037,0.09338,0.2411,,,,,,,,,,,
SERPINE3,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3",647174,13,0.2282,-5.479,0.09359,0.2415,,,,,,,,,,,
POMC,proopiomelanocortin,5443,2,0.3039,-4.061,0.09362,0.2416,,,,,,,,,,,
ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6,9459,X,0.1578,6.019,0.09366,0.2416,,,,,,,,,,,
NA,NA,NA,NA,0.3053,-3.481,0.09385,0.2421,,,,,,,,,,,
BTNL2,butyrophilin like 2,56244,6,0.2538,-5.374,0.09409,0.2426,,,,,,,,,,,
NA,NA,NA,NA,0.1417,0.455,0.09411,0.2426,,,,,,,,,,,
DPH2,DPH2 homolog,1802,1,0.1084,3.009,0.09412,0.2426,,,,,,,,,,,
KIR2DL2,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2",3803,19,0.15,-6.129,0.09415,0.2426,,,,,,,,,,,
FRMPD3,FERM and PDZ domain containing 3,84443,X,0.2591,0.06229,0.09417,0.2427,,,,,,,,,,,
ANKRD49,ankyrin repeat domain 49,54851,11,0.07964,2.937,0.09422,0.2428,,,,,,,,,,,
SLC30A7,solute carrier family 30 member 7,148867,1,0.06194,5.95,0.09433,0.243,,,,,,,,,,,
FLJ21408,uncharacterized LOC400512,400512,16,0.2408,-3.97,0.0944,0.2431,,,,,,,,,,,
LRRN4,leucine rich repeat neuronal 4,164312,20,0.3937,-3.551,0.09453,0.2434,,,,,,,,,,,
TTLL9,tubulin tyrosine ligase like 9,164395,20,0.2495,-1.406,0.09457,0.2434,,,,,,,,,,,
MORC4,MORC family CW-type zinc finger 4,79710,X,0.1014,5.074,0.09463,0.2436,,,,,,,,,,,
TXNDC12,thioredoxin domain containing 12 (endoplasmic reticulum),51060,1,0.07491,5.086,0.09475,0.2439,,,,,,,,,,,
PP7080,uncharacterized LOC25845,25845,5,0.1491,-0.2226,0.0948,0.244,,,,,,,,,,,
APIP,APAF1 interacting protein,51074,11,0.09712,2.905,0.09483,0.244,,,,,,,,,,,
PBDC1,polysaccharide biosynthesis domain containing 1,51260,X,0.08738,4.392,0.09508,0.2445,,,,,,,,,,,
TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),7020,6,0.3018,4.391,0.09518,0.2447,,,,,,,,,,,
LOC100506895,uncharacterized LOC100506895,100506895,7,0.1305,-6.084,0.09526,0.2449,,,,,,,,,,,
LTB4R2,leukotriene B4 receptor 2,56413,14,0.1922,0.293,0.09528,0.2449,,,,,,,,,,,
GRIK1-AS2,GRIK1 antisense RNA 2,100379661,21,0.2143,-0.7059,0.09548,0.2454,,,,,,,,,,,
MET,"MET proto-oncogene, receptor tyrosine kinase",4233,7,0.2064,7.658,0.09558,0.2455,,,,,,,,,,,
IFNK,"interferon, kappa",56832,9,0.1649,-6.055,0.09559,0.2455,,,,,,,,,,,
PIGBOS1,PIGB opposite strand 1,101928527,15,0.1986,-5.158,0.09563,0.2456,,,,,,,,,,,
BAZ1B,bromodomain adjacent to zinc finger domain 1B,9031,7,0.07102,7.986,0.09564,0.2456,,,,,,,,,,,
TP73,tumor protein p73,7161,1,0.3089,0.8116,0.09587,0.2461,,,,,,,,,,,
VPS13A,vacuolar protein sorting 13 homolog A (S. cerevisiae),23230,9,0.09919,9.075,0.0959,0.2462,,,,,,,,,,,
RNU4-2,"RNA, U4 small nuclear 2",26834,12,0.1902,0.8512,0.09615,0.2467,,,,,,,,,,,
TLR5,toll like receptor 5,7100,1,0.1696,3.945,0.09625,0.2469,,,,,,,,,,,
ZNF833P,"zinc finger protein 833, pseudogene",401898,19,0.2066,-1.888,0.09629,0.247,,,,,,,,,,,
SQLE,squalene epoxidase,6713,8,0.1602,5.901,0.0963,0.247,,,,,,,,,,,
NA,NA,NA,NA,0.2049,-5.187,0.09634,0.2471,,,,,,,,,,,
TATDN1,TatD DNase domain containing 1,83940,8,0.1031,4.163,0.09646,0.2473,,,,,,,,,,,
CARD19,caspase recruitment domain family member 19,84270,9,0.1028,2.83,0.09648,0.2473,,,,,,,,,,,
PDE6H,phosphodiesterase 6H,5149,12,0.1907,-5.746,0.09648,0.2473,,,,,,,,,,,
